"event_message","event_type","function_id","id","level","timestamp"
"shutdown","Shutdown","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","6912f93b-f025-4cdd-849c-ded88b8a450f","log","1734054698684479"
"shutdown","Shutdown","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","a280c32c-7099-48ac-b366-4b070d1fb23c","log","1734054698307403"
"shutdown","Shutdown","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","71f6aef6-fefc-4a94-9743-74f263040a83","log","1734054695808678"
"shutdown","Shutdown","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","418cd7aa-5ef4-48ff-b1d6-55300d6b954d","log","1734054694311682"
"Successfully processed invoice payment
","Log","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","f0fba4b5-80d5-4f76-985f-cae23212ce89","log","1734054548662175"
"Successfully updated subscription status
  "pending_update": null,
  "plan": {
    "id": "price_1QSAgsRxeyQrsSA7l4FWfeNc",
    "object": "plan",
    "active": true,
    "aggregate_usage": null,
    "amount": 199,
    "amount_decimal": "199",
    "billing_scheme": "per_unit",
    "created": 1733288398,
    "currency": "usd",
    "interval": "month",
    "interval_count": 1,
    "livemode": false,
    "metadata": {},
    "meter": null,
    "nickname": null,
    "product": "prod_RKqNhsUp0RFltH",
    "tiers_mode": null,
    "transform_usage": null,
    "trial_period_days": null,
    "usage_type": "licensed"
  },
  "quantity": 1,
  "schedule": null,
  "start_date": 1734054539,
  "status": "active",
  "test_clock": null,
  "transfer_data": null,
  "trial_end": null,
  "trial_settings": {
    "end_behavior": {
      "missing_payment_method": "create_invoice"
    }
  },
  "trial_start": null
}
","Log","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","17b708a1-deb3-402b-8737-4e8e07a37794","log","1734054548661866"
"Updating subscription status for ID: sub_1QVNzzRxeyQrsSA7PmgmjWsO
","Log","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","cf6eea1d-bd08-438a-a255-2a46c8068421","log","1734054548661624"
"Invoice details: {
  "id": "in_1QVNzzRxeyQrsSA7eOdGLS68",
  "object": "invoice",
  "account_country": "US",
  "account_name": "Ulises Gomez",
  "account_tax_ids": null,
  "amount_due": 199,
  "amount_paid": 199,
  "amount_remaining": 0,
  "amount_shipping": 0,
  "application": null,
  "application_fee_amount": null,
  "attempt_count": 1,
  "attempted": true,
  "auto_advance": false,
  "automatic_tax": {
    "disabled_reason": null,
    "enabled": true,
    "liability": {
      "type": "self"
    },
    "status": "complete"
  },
  "automatically_finalizes_at": null,
  "billing_reason": "subscription_create",
  "charge": "ch_3QVO00RxeyQrsSA71p33ueT2",
  "collection_method": "charge_automatically",
  "created": 1734054539,
  "currency": "usd",
  "custom_fields": null,
  "customer": "cus_ROAKzij01Yp5uk",
  "customer_address": {
    "city": "North Hills",
    "country": "US",
    "line1": "9137 Langdon Avenue",
    "line2": null,
    "postal_code": "91343",
    "state": "CA"
  },
  "customer_email": "d@d.com",
  "customer_name": "dd",
  "customer_phone": null,
  "customer_shipping": null,
  "customer_tax_exempt": "none",
  "customer_tax_ids": [],
  "default_payment_method": null,
  "default_source": null,
  "default_tax_rates": [],
  "description": null,
  "discount": null,
  "discounts": [],
  "due_date": null,
  "effective_at": 1734054539,
  "ending_balance": 0,
  "footer": null,
  "from_invoice": null,
  "hosted_invoice_url": "https://invoice.stripe.com/i/acct_1QS9pIRxeyQrsSA7/test_YWNjdF8xUVM5cElSeGV5UXJzU0E3LF9ST0FLTzU0SDF4bnNabHNlZmRsZ1ZZZUxqUmk5OUxPLDEyNDU5NTM0Mw0200iH5Y8UZC?s=ap",
  "invoice_pdf": "https://pay.stripe.com/invoice/acct_1QS9pIRxeyQrsSA7/test_YWNjdF8xUVM5cElSeGV5UXJzU0E3LF9ST0FLTzU0SDF4bnNabHNlZmRsZ1ZZZUxqUmk5OUxPLDEyNDU5NTM0Mw0200iH5Y8UZC/pdf?s=ap",
  "issuer": {
    "type": "self"
  },
  "last_finalization_error": null,
  "latest_revision": null,
  "lines": {
    "object": "list",
    "data": [
      {
        "id": "il_1QVNzzRxeyQrsSA7oTQL2Ogv",
        "object": "line_item",
        "amount": 199,
        "amount_excluding_tax": 199,
        "currency": "usd",
        "description": "1 × Basic Tier (at $1.99 / month)",
        "discount_amounts": [],
        "discountable": true,
        "discounts": [],
        "invoice": "in_1QVNzzRxeyQrsSA7eOdGLS68",
        "livemode": false,
        "metadata": {},
        "period": {
          "end": 1736732939,
          "start": 1734054539
        },
        "plan": {
          "id": "price_1QSAgsRxeyQrsSA7l4FWfeNc",
          "object": "plan",
          "active": true,
          "aggregate_usage": null,
          "amount": 199,
          "amount_decimal": "199",
          "billing_scheme": "per_unit",
          "created": 1733288398,
          "currency": "usd",
          "interval": "month",
          "interval_count": 1,
          "livemode": false,
          "metadata": {},
          "meter": null,
          "nickname": null,
          "product": "prod_RKqNhsUp0RFltH",
          "tiers_mode": null,
          "transform_usage": null,
          "trial_period_days": null,
          "usage_type": "licensed"
        },
        "pretax_credit_amounts": [],
        "price": {
          "id": "price_1QSAgsRxeyQrsSA7l4FWfeNc",
          "object": "price",
          "active": true,
          "billing_scheme": "per_unit",
          "created": 1733288398,
          "currency": "usd",
          "custom_unit_amount": null,
          "livemode": false,
          "lookup_key": null,
          "metadata": {},
          "nickname": null,
          "product": "prod_RKqNhsUp0RFltH",
          "recurring": {
            "aggregate_usage": null,
            "interval": "month",
            "interval_count": 1,
            "meter": null,
            "trial_period_days": null,
            "usage_type": "licensed"
          },
          "tax_behavior": "unspecified",
          "tiers_mode": null,
          "transform_quantity": null,
          "type": "recurring",
          "unit_amount": 199,
          "unit_amount_decimal": "199"
        },
        "proration": false,
        "proration_details": {
          "credited_items": null
        },
        "quantity": 1,
        "subscription": "sub_1QVNzzRxeyQrsSA7PmgmjWsO",
        "subscription_item": "si_ROAKGWDo1TSEQf",
        "tax_amounts": [
          {
            "amount": 0,
            "inclusive": false,
            "tax_rate": "txr_1QUwahRxeyQrsSA7Pvds97g1",
            "taxability_reason": "not_collecting",
            "taxable_amount": 0
          }
        ],
        "tax_rates": [],
        "type": "subscription",
        "unit_amount_excluding_tax": "199"
      }
    ],
    "has_more": false,
    "total_count": 1,
    "url": "/v1/invoices/in_1QVNzzRxeyQrsSA7eOdGLS68/lines"
  },
  "livemode": false,
  "metadata": {},
  "next_payment_attempt": null,
  "number": "FBCE6481-0001",
  "on_behalf_of": null,
  "paid": true,
  "paid_out_of_band": false,
  "payment_intent": "pi_3QVO00RxeyQrsSA71FP6Cn4j",
  "payment_settings": {
    "default_mandate": null,
    "payment_method_options": {
      "acss_debit": null,
      "bancontact": null,
      "card": {
        "request_three_d_secure": "automatic"
      },
      "customer_balance": null,
      "konbini": null,
      "sepa_debit": null,
      "us_bank_account": null
    },
    "payment_method_types": null
  },
  "period_end": 1734054539,
  "period_start": 1734054539,
  "post_payment_credit_notes_amount": 0,
  "pre_payment_credit_notes_amount": 0,
  "quote": null,
  "receipt_number": null,
  "rendering": null,
  "shipping_cost": null,
  "shipping_details": null,
  "starting_balance": 0,
  "statement_descriptor": null,
  "status": "paid",
  "status_transitions": {
    "finalized_at": 1734054539,
    "marked_uncollectible_at": null,
    "paid_at": 1734054541,
    "voided_at": null
  },
  "subscription": "sub_1QVNzzRxeyQrsSA7PmgmjWsO",
  "subscription_details": {
    "metadata": {}
  },
  "subtotal": 199,
  "subtotal_excluding_tax": 199,
  "tax": 0,
  "test_clock": null,
  "total": 199,
  "total_discount_amounts": [],
  "total_excluding_tax": 199,
  "total_pretax_credit_amounts": [],
  "total_tax_amounts": [
    {
      "amount": 0,
      "inclusive": false,
      "tax_rate": "txr_1QUwahRxeyQrsSA7Pvds97g1",
      "taxability_reason": "not_collecting",
      "taxable_amount": 0
    }
  ],
  "transfer_data": null,
  "webhooks_delivered_at": null
}
","Log","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","3e5d9607-a340-4402-91d6-6c145c3d0115","log","1734054548661452"
"Processing paid invoice for subscription: sub_1QVNzzRxeyQrsSA7PmgmjWsO
","Log","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","fe71aecd-d604-4e57-9fa2-d4ed19fb3231","log","1734054548661303"
"Detected invoice paid event
","Log","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","dbba0119-25bc-442c-b216-748f9ba12cf2","log","1734054548661142"
"Event data: {
  "object": {
    "id": "in_1QVNzzRxeyQrsSA7eOdGLS68",
    "object": "invoice",
    "account_country": "US",
    "account_name": "Ulises Gomez",
    "account_tax_ids": null,
    "amount_due": 199,
    "amount_paid": 199,
    "amount_remaining": 0,
    "amount_shipping": 0,
    "application": null,
    "application_fee_amount": null,
    "attempt_count": 1,
    "attempted": true,
    "auto_advance": false,
    "automatic_tax": {
      "disabled_reason": null,
      "enabled": true,
      "liability": {
        "type": "self"
      },
      "status": "complete"
    },
    "automatically_finalizes_at": null,
    "billing_reason": "subscription_create",
    "charge": "ch_3QVO00RxeyQrsSA71p33ueT2",
    "collection_method": "charge_automatically",
    "created": 1734054539,
    "currency": "usd",
    "custom_fields": null,
    "customer": "cus_ROAKzij01Yp5uk",
    "customer_address": {
      "city": "North Hills",
      "country": "US",
      "line1": "9137 Langdon Avenue",
      "line2": null,
      "postal_code": "91343",
      "state": "CA"
    },
    "customer_email": "d@d.com",
    "customer_name": "dd",
    "customer_phone": null,
    "customer_shipping": null,
    "customer_tax_exempt": "none",
    "customer_tax_ids": [],
    "default_payment_method": null,
    "default_source": null,
    "default_tax_rates": [],
    "description": null,
    "discount": null,
    "discounts": [],
    "due_date": null,
    "effective_at": 1734054539,
    "ending_balance": 0,
    "footer": null,
    "from_invoice": null,
    "hosted_invoice_url": "https://invoice.stripe.com/i/acct_1QS9pIRxeyQrsSA7/test_YWNjdF8xUVM5cElSeGV5UXJzU0E3LF9ST0FLTzU0SDF4bnNabHNlZmRsZ1ZZZUxqUmk5OUxPLDEyNDU5NTM0Mw0200iH5Y8UZC?s=ap",
    "invoice_pdf": "https://pay.stripe.com/invoice/acct_1QS9pIRxeyQrsSA7/test_YWNjdF8xUVM5cElSeGV5UXJzU0E3LF9ST0FLTzU0SDF4bnNabHNlZmRsZ1ZZZUxqUmk5OUxPLDEyNDU5NTM0Mw0200iH5Y8UZC/pdf?s=ap",
    "issuer": {
      "type": "self"
    },
    "last_finalization_error": null,
    "latest_revision": null,
    "lines": {
      "object": "list",
      "data": [
        {
          "id": "il_1QVNzzRxeyQrsSA7oTQL2Ogv",
          "object": "line_item",
          "amount": 199,
          "amount_excluding_tax": 199,
          "currency": "usd",
          "description": "1 × Basic Tier (at $1.99 / month)",
          "discount_amounts": [],
          "discountable": true,
          "discounts": [],
          "invoice": "in_1QVNzzRxeyQrsSA7eOdGLS68",
          "livemode": false,
          "metadata": {},
          "period": {
            "end": 1736732939,
            "start": 1734054539
          },
          "plan": {
            "id": "price_1QSAgsRxeyQrsSA7l4FWfeNc",
            "object": "plan",
            "active": true,
            "aggregate_usage": null,
            "amount": 199,
            "amount_decimal": "199",
            "billing_scheme": "per_unit",
            "created": 1733288398,
            "currency": "usd",
            "interval": "month",
            "interval_count": 1,
            "livemode": false,
            "metadata": {},
            "meter": null,
            "nickname": null,
            "product": "prod_RKqNhsUp0RFltH",
            "tiers_mode": null,
            "transform_usage": null,
            "trial_period_days": null,
            "usage_type": "licensed"
          },
          "pretax_credit_amounts": [],
          "price": {
            "id": "price_1QSAgsRxeyQrsSA7l4FWfeNc",
            "object": "price",
            "active": true,
            "billing_scheme": "per_unit",
            "created": 1733288398,
            "currency": "usd",
            "custom_unit_amount": null,
            "livemode": false,
            "lookup_key": null,
            "metadata": {},
            "nickname": null,
            "product": "prod_RKqNhsUp0RFltH",
            "recurring": {
              "aggregate_usage": null,
              "interval": "month",
              "interval_count": 1,
              "meter": null,
              "trial_period_days": null,
              "usage_type": "licensed"
            },
            "tax_behavior": "unspecified",
            "tiers_mode": null,
            "transform_quantity": null,
            "type": "recurring",
            "unit_amount": 199,
            "unit_amount_decimal": "199"
          },
          "proration": false,
          "proration_details": {
            "credited_items": null
          },
          "quantity": 1,
          "subscription": "sub_1QVNzzRxeyQrsSA7PmgmjWsO",
          "subscription_item": "si_ROAKGWDo1TSEQf",
          "tax_amounts": [
            {
              "amount": 0,
              "inclusive": false,
              "tax_rate": "txr_1QUwahRxeyQrsSA7Pvds97g1",
              "taxability_reason": "not_collecting",
              "taxable_amount": 0
            }
          ],
          "tax_rates": [],
          "type": "subscription",
          "unit_amount_excluding_tax": "199"
        }
      ],
      "has_more": false,
      "total_count": 1,
      "url": "/v1/invoices/in_1QVNzzRxeyQrsSA7eOdGLS68/lines"
    },
    "livemode": false,
    "metadata": {},
    "next_payment_attempt": null,
    "number": "FBCE6481-0001",
    "on_behalf_of": null,
    "paid": true,
    "paid_out_of_band": false,
    "payment_intent": "pi_3QVO00RxeyQrsSA71FP6Cn4j",
    "payment_settings": {
      "default_mandate": null,
      "payment_method_options": {
        "acss_debit": null,
        "bancontact": null,
        "card": {
          "request_three_d_secure": "automatic"
        },
        "customer_balance": null,
        "konbini": null,
        "sepa_debit": null,
        "us_bank_account": null
      },
      "payment_method_types": null
    },
    "period_end": 1734054539,
    "period_start": 1734054539,
    "post_payment_credit_notes_amount": 0,
    "pre_payment_credit_notes_amount": 0,
    "quote": null,
    "receipt_number": null,
    "rendering": null,
    "shipping_cost": null,
    "shipping_details": null,
    "starting_balance": 0,
    "statement_descriptor": null,
    "status": "paid",
    "status_transitions": {
      "finalized_at": 1734054539,
      "marked_uncollectible_at": null,
      "paid_at": 1734054541,
      "voided_at": null
    },
    "subscription": "sub_1QVNzzRxeyQrsSA7PmgmjWsO",
    "subscription_details": {
      "metadata": {}
    },
    "subtotal": 199,
    "subtotal_excluding_tax": 199,
    "tax": 0,
    "test_clock": null,
    "total": 199,
    "total_discount_amounts": [],
    "total_excluding_tax": 199,
    "total_pretax_credit_amounts": [],
    "total_tax_amounts": [
      {
        "amount": 0,
        "inclusive": false,
        "tax_rate": "txr_1QUwahRxeyQrsSA7Pvds97g1",
        "taxability_reason": "not_collecting",
        "taxable_amount": 0
      }
    ],
    "transfer_data": null,
    "webhooks_delivered_at": null
  }
}
","Log","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","2198b11d-d996-4e5e-809b-65b8d558a99f","log","1734054548660967"
"Processing event type: invoice.paid
","Log","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","3ba2ffdc-c8b2-4c39-b87c-6f26a81e98ab","log","1734054548660724"
"Successfully verified webhook signature
","Log","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","debe988b-98e5-443f-85d5-ac1c08b6502c","log","1734054548660443"
"Received webhook body: {
  "id": "evt_1QVO03RxeyQrsSA7Os8U61rZ",
  "object": "event",
  "api_version": "2024-11-20.acacia",
  "created": 1734054542,
  "data": {
    "object": {
      "id": "in_1QVNzzRxeyQrsSA7eOdGLS68",
      "object": "invoice",
      "account_country": "US",
      "account_name": "Ulises Gomez",
      "account_tax_ids": null,
      "amount_due": 199,
      "amount_paid": 199,
      "amount_remaining": 0,
      "amount_shipping": 0,
      "application": null,
      "application_fee_amount": null,
      "attempt_count": 1,
      "attempted": true,
      "auto_advance": false,
      "automatic_tax": {
        "disabled_reason": null,
        "enabled": true,
        "liability": {
          "type": "self"
        },
        "status": "complete"
      },
      "automatically_finalizes_at": null,
      "billing_reason": "subscription_create",
      "charge": "ch_3QVO00RxeyQrsSA71p33ueT2",
      "collection_method": "charge_automatically",
      "created": 1734054539,
      "currency": "usd",
      "custom_fields": null,
      "customer": "cus_ROAKzij01Yp5uk",
      "customer_address": {
        "city": "North Hills",
        "country": "US",
        "line1": "9137 Langdon Avenue",
        "line2": null,
        "postal_code": "91343",
        "state": "CA"
      },
      "customer_email": "d@d.com",
      "customer_name": "dd",
      "customer_phone": null,
      "customer_shipping": null,
      "customer_tax_exempt": "none",
      "customer_tax_ids": [

      ],
      "default_payment_method": null,
      "default_source": null,
      "default_tax_rates": [

      ],
      "description": null,
      "discount": null,
      "discounts": [

      ],
      "due_date": null,
      "effective_at": 1734054539,
      "ending_balance": 0,
      "footer": null,
      "from_invoice": null,
      "hosted_invoice_url": "https://invoice.stripe.com/i/acct_1QS9pIRxeyQrsSA7/test_YWNjdF8xUVM5cElSeGV5UXJzU0E3LF9ST0FLTzU0SDF4bnNabHNlZmRsZ1ZZZUxqUmk5OUxPLDEyNDU5NTM0Mw0200iH5Y8UZC?s=ap",
      "invoice_pdf": "https://pay.stripe.com/invoice/acct_1QS9pIRxeyQrsSA7/test_YWNjdF8xUVM5cElSeGV5UXJzU0E3LF9ST0FLTzU0SDF4bnNabHNlZmRsZ1ZZZUxqUmk5OUxPLDEyNDU5NTM0Mw0200iH5Y8UZC/pdf?s=ap",
      "issuer": {
        "type": "self"
      },
      "last_finalization_error": null,
      "latest_revision": null,
      "lines": {
        "object": "list",
        "data": [
          {
            "id": "il_1QVNzzRxeyQrsSA7oTQL2Ogv",
            "object": "line_item",
            "amount": 199,
            "amount_excluding_tax": 199,
            "currency": "usd",
            "description": "1 × Basic Tier (at $1.99 / month)",
            "discount_amounts": [

            ],
            "discountable": true,
            "discounts": [

            ],
            "invoice": "in_1QVNzzRxeyQrsSA7eOdGLS68",
            "livemode": false,
            "metadata": {
            },
            "period": {
              "end": 1736732939,
              "start": 1734054539
            },
            "plan": {
              "id": "price_1QSAgsRxeyQrsSA7l4FWfeNc",
              "object": "plan",
              "active": true,
              "aggregate_usage": null,
              "amount": 199,
              "amount_decimal": "199",
              "billing_scheme": "per_unit",
              "created": 1733288398,
              "currency": "usd",
              "interval": "month",
              "interval_count": 1,
              "livemode": false,
              "metadata": {
              },
              "meter": null,
              "nickname": null,
              "product": "prod_RKqNhsUp0RFltH",
              "tiers_mode": null,
              "transform_usage": null,
              "trial_period_days": null,
              "usage_type": "licensed"
            },
            "pretax_credit_amounts": [

            ],
            "price": {
              "id": "price_1QSAgsRxeyQrsSA7l4FWfeNc",
              "object": "price",
              "active": true,
              "billing_scheme": "per_unit",
              "created": 1733288398,
              "currency": "usd",
              "custom_unit_amount": null,
              "livemode": false,
              "lookup_key": null,
              "metadata": {
              },
              "nickname": null,
              "product": "prod_RKqNhsUp0RFltH",
              "recurring": {
                "aggregate_usage": null,
                "interval": "month",
                "interval_count": 1,
                "meter": null,
                "trial_period_days": null,
                "usage_type": "licensed"
              },
              "tax_behavior": "unspecified",
              "tiers_mode": null,
              "transform_quantity": null,
              "type": "recurring",
              "unit_amount": 199,
              "unit_amount_decimal": "199"
            },
            "proration": false,
            "proration_details": {
              "credited_items": null
            },
            "quantity": 1,
            "subscription": "sub_1QVNzzRxeyQrsSA7PmgmjWsO",
            "subscription_item": "si_ROAKGWDo1TSEQf",
            "tax_amounts": [
              {
                "amount": 0,
                "inclusive": false,
                "tax_rate": "txr_1QUwahRxeyQrsSA7Pvds97g1",
                "taxability_reason": "not_collecting",
                "taxable_amount": 0
              }
            ],
            "tax_rates": [

            ],
            "type": "subscription",
            "unit_amount_excluding_tax": "199"
          }
        ],
        "has_more": false,
        "total_count": 1,
        "url": "/v1/invoices/in_1QVNzzRxeyQrsSA7eOdGLS68/lines"
      },
      "livemode": false,
      "metadata": {
      },
      "next_payment_attempt": null,
      "number": "FBCE6481-0001",
      "on_behalf_of": null,
      "paid": true,
      "paid_out_of_band": false,
      "payment_intent": "pi_3QVO00RxeyQrsSA71FP6Cn4j",
      "payment_settings": {
        "default_mandate": null,
        "payment_method_options": {
          "acss_debit": null,
          "bancontact": null,
          "card": {
            "request_three_d_secure": "automatic"
          },
          "customer_balance": null,
          "konbini": null,
          "sepa_debit": null,
          "us_bank_account": null
        },
        "payment_method_types": null
      },
      "period_end": 1734054539,
      "period_start": 1734054539,
      "post_payment_credit_notes_amount": 0,
      "pre_payment_credit_notes_amount": 0,
      "quote": null,
      "receipt_number": null,
      "rendering": null,
      "shipping_cost": null,
      "shipping_details": null,
      "starting_balance": 0,
      "statement_descriptor": null,
      "status": "paid",
      "status_transitions": {
        "finalized_at": 1734054539,
        "marked_uncollectible_at": null,
        "paid_at": 1734054541,
        "voided_at": null
      },
      "subscription": "sub_1QVNzzRxeyQrsSA7PmgmjWsO",
      "subscription_details": {
        "metadata": {
        }
      },
      "subtotal": 199,
      "subtotal_excluding_tax": 199,
      "tax": 0,
      "test_clock": null,
      "total": 199,
      "total_discount_amounts": [

      ],
      "total_excluding_tax": 199,
      "total_pretax_credit_amounts": [

      ],
      "total_tax_amounts": [
        {
          "amount": 0,
          "inclusive": false,
          "tax_rate": "txr_1QUwahRxeyQrsSA7Pvds97g1",
          "taxability_reason": "not_collecting",
          "taxable_amount": 0
        }
      ],
      "transfer_data": null,
      "webhooks_delivered_at": null
    }
  },
  "livemode": false,
  "pending_webhooks": 1,
  "request": {
    "id": "req_GKpGYG61rMW9OY",
    "idempotency_key": "9cc76a78-74ca-46fd-9c53-64071288632a"
  },
  "type": "invoice.paid"
}
","Log","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","c8503822-1517-4e85-b30b-f8c5c0dbe4b8","log","1734054548660185"
"Listening on http://localhost:9999/
","Log","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","bbe96daf-5a31-4b09-91e0-dc3ce11bdaa2","log","1734054548659925"
"booted (time: 27ms)","Boot","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","5fa98c97-957c-416a-ba77-96358aab0d25","log","1734054548659307"
"Skipping unhandled event type: invoice.created
","Log","c5c7c71e-0893-47d5-bce5-45e937e3c2bc","573819ed-3712-4590-8457-242aa8de429e","log","1734054548277549"
"Event data: {
  "object": {
    "id": "in_1QVNzzRxeyQrsSA7eOdGLS68",
    "object": "invoice",
    "account_country": "US",
    "account_name": "Ulises Gomez",
    "account_tax_ids": null,
    "amount_due": 199,
    "amount_paid": 0,
    "amount_remaining": 199,
    "amount_shipping": 0,
    "application": null,
    "application_fee_amount": null,
    "attempt_count": 0,
    "attempted": false,
    "auto_advance": false,
    "automatic_tax": {
      "disabled_reason": null,
      "enabled": true,
      "liability": {
        "type": "self"
      },
      "status": "complete"
    },
    "automatically_finalizes_at": null,
    "billing_reason": "subscription_create",
    "charge": null,
    "collection_method": "charge_automatically",
    "created": 1734054539,
    "currency": "usd",
    "custom_fields": null,
    "customer": "cus_ROAKzij01Yp5uk",
    "customer_address": {
      "city": "North Hills",
      "country": "US",
      "line1": "9137 Langdon Avenue",
      "line2": null,
      "postal_code": "91343",
      "state": "CA"
    },
    "customer_email": "d@d.com",
    "customer_name": "dd",
    "customer_phone": null,
    "customer_shipping": null,
    "customer_tax_exempt": "none",
    "customer_tax_ids": [],
    "default_payment_method": null,
    "default_source": null,
    "default_tax_rates": [],
    "description": null,
    "discount": null,
    "discounts": [],
    "due_date": null,
    "effective_at": 1734054539,
    "ending_balance": 0,
    "footer": null,
    "from_invoice": null,
    "hosted_invoice_url": "https://invoice.stripe.com/i/acct_1QS9pIRxeyQrsSA7/test_YWNjdF8xUVM5cElSeGV5UXJzU0E3LF9ST0FLTzU0SDF4bnNabHNlZmRsZ1ZZZUxqUmk5OUxPLDEyNDU5NTM0Mw0200iH5Y8UZC?s=ap",
    "invoice_pdf": "https://pay.stripe.com/invoice/acct_1QS9pIRxeyQrsSA7/test_YWNjdF8xUVM5cElSeGV5UXJzU0E3LF9ST0FLTzU0SDF4bnNabHNlZmRsZ1ZZZUxqUmk5OUxPLDEyNDU5NTM0Mw0200iH5Y8UZC/pdf?s=ap",
    "issuer": {
      "type": "self"
    },
    "last_finalization_error": null,
    "latest_revision": null,
